gpsTime, uid, latitude, longitude, altitude, rssi
0000-01-01 14:36:40.000, 1435706f, -37.548985, 175.26212666666666, 118.11024, {Port 1: -57, Port 2: -57}
0000-01-01 14:36:42.000, 1435706f, -37.548985, 175.26212666666666, 118.11024, {Port 1: -57, Port 2: -58}
0000-01-01 14:36:44.000, 1435706f, -37.548985, 175.26212666666666, 117.782156, {Port 1: -57, Port 2: -56}
0000-01-01 14:36:46.000, 1435706f, -37.548985, 175.26212666666666, 117.782156, {Port 1: -56, Port 2: -57}
0000-01-01 14:36:48.000, 1435706f, -37.548985, 175.26212666666666, 117.782156, {Port 1: -58, Port 2: -57}
0000-01-01 14:36:50.000, 1435706f, -37.548985, 175.26212666666666, 117.782156, {Port 1: -57, Port 2: -56}
0000-01-01 14:36:52.000, 1435706f, -37.548985, 175.26212666666666, 117.782156, {Port 1: -57, Port 2: -57}
0000-01-01 14:36:54.000, 1435706f, -37.548985, 175.26212666666666, 117.782156, {Port 1: -57, Port 2: -58}
0000-01-01 14:36:56.000, 1435706f, -37.548985, 175.26212666666666, 117.782156, {Port 1: -56, Port 2: -57}
0000-01-01 14:36:58.000, 1435706f, -37.548985, 175.26212666666666, 117.782156, {Port 1: -57, Port 2: -57}
0000-01-01 14:37:00.000, 1435706f, -37.548985, 175.26212666666666, 117.782156, {Port 1: -57, Port 2: -57}
0000-01-01 14:37:02.000, 1435706f, -37.548985, 175.26212666666666, 117.782156, {Port 1: -57, Port 2: -57}
0000-01-01 14:37:04.000, 1435706f, -37.548985, 175.26212666666666, 117.782156, {Port 1: -56, Port 2: -57}
0000-01-01 14:37:06.000, 1435706f, -37.548985, 175.26212666666666, 117.782156, {Port 1: -54, Port 2: -56}
0000-01-01 14:37:08.000, 1435706f, -37.548985, 175.26212666666666, 117.782156, {Port 1: -56, Port 2: -56}
0000-01-01 14:37:10.000, 1435706f, -37.548985, 175.26212666666666, 117.782156, {Port 1: -56, Port 2: -57}
0000-01-01 14:37:12.000, 1435706f, -37.548985, 175.26212666666666, 117.454072, {Port 1: -57, Port 2: -56}
0000-01-01 14:37:14.000, 1435706f, -37.548985, 175.26212666666666, 117.454072, {Port 1: -57, Port 2: -57}
0000-01-01 14:37:16.000, 1435706f, -37.548985, 175.26212666666666, 117.454072, {Port 1: -56, Port 2: -56}
0000-01-01 14:37:18.000, 1435706f, -37.548985, 175.26212666666666, 117.454072, {Port 1: -56, Port 2: -56}
0000-01-01 14:37:20.000, 1435706f, -37.548985, 175.26212666666666, 117.454072, {Port 1: -57, Port 2: -56}
0000-01-01 14:37:22.000, 1435706f, -37.548985, 175.26212666666666, 117.454072, {Port 1: -57, Port 2: -57}
0000-01-01 14:37:24.000, 1435706f, -37.548985, 175.26212666666666, 117.454072, {Port 1: -56, Port 2: -56}
0000-01-01 14:37:26.000, 1435706f, -37.548985, 175.26212666666666, 117.454072, {Port 1: -57, Port 2: -57}
0000-01-01 14:37:28.000, 1435706f, -37.548985, 175.26212666666666, 117.454072, {Port 1: -57, Port 2: -56}
0000-01-01 14:37:30.000, 1435706f, -37.548985, 175.26212666666666, 117.125988, {Port 1: -56, Port 2: -57}
0000-01-01 14:37:32.000, 1435706f, -37.548985, 175.26212666666666, 117.125988, {Port 1: -56, Port 2: -57}
0000-01-01 14:37:34.000, 1435706f, -37.548985, 175.26212666666666, 117.125988, {Port 1: -55, Port 2: -57}
0000-01-01 14:37:36.000, 1435706f, -37.548985, 175.26212666666666, 117.125988, {Port 1: -57, Port 2: -58}
0000-01-01 14:37:38.000, 1435706f, -37.548985, 175.26212666666666, 117.125988, {Port 1: -56, Port 2: -57}
0000-01-01 14:37:40.000, 1435706f, -37.548985, 175.26212666666666, 117.125988, {Port 1: -56, Port 2: -56}
0000-01-01 14:37:42.000, 1435706f, -37.548985, 175.26212666666666, 117.125988, {Port 1: -56, Port 2: -56}
0000-01-01 14:37:44.000, 1435706f, -37.548985, 175.26212666666666, 117.125988, {Port 1: -57, Port 2: -57}
0000-01-01 14:37:46.000, 1435706f, -37.548985, 175.26212666666666, 117.125988, {Port 1: -58, Port 2: -56}
0000-01-01 14:37:48.000, 1435706f, -37.548985, 175.26212666666666, 116.797904, {Port 1: -59, Port 2: -57}
0000-01-01 14:37:50.000, 1435706f, -37.548985, 175.26212666666666, 116.797904, {Port 1: -58, Port 2: -57}
0000-01-01 14:37:52.000, 1435706f, -37.548985, 175.26212666666666, 116.797904, {Port 1: -58, Port 2: -56}
0000-01-01 14:37:54.000, 1435706f, -37.548985, 175.26212666666666, 116.797904, {Port 1: -58, Port 2: -57}
0000-01-01 14:37:56.000, 1435706f, -37.548985, 175.26212666666666, 116.797904, {Port 1: -59, Port 2: -57}
0000-01-01 14:37:58.000, 1435706f, -37.548985, 175.26212666666666, 116.797904, {Port 1: -57, Port 2: -55}
0000-01-01 14:38:00.000, 1435706f, -37.548985, 175.26212666666666, 116.797904, {Port 1: -57, Port 2: -58}
0000-01-01 14:38:02.000, 1435706f, -37.548985, 175.26212666666666, 116.797904, {Port 1: -57, Port 2: -57}
0000-01-01 14:38:04.000, 1435706f, -37.548985, 175.26212666666666, 116.797904, {Port 1: -61, Port 2: -57}
0000-01-01 14:38:05.000, 1435706f, -37.548985, 175.26212666666666, 116.46982, {Port 1: -59, Port 2: -57}
0000-01-01 14:38:07.000, 1435706f, -37.548985, 175.26212666666666, 116.46982, {Port 1: -61, Port 2: -58}
0000-01-01 14:38:09.000, 1435706f, -37.548985, 175.26212666666666, 116.46982, {Port 1: -59, Port 2: -57}
0000-01-01 14:38:11.000, 1435706f, -37.548985, 175.26212666666666, 116.46982, {Port 1: -61, Port 2: -57}
0000-01-01 14:38:13.000, 1435706f, -37.548985, 175.26212666666666, 116.46982, {Port 1: -61, Port 2: -58}
0000-01-01 14:38:15.000, 1435706f, -37.548985, 175.26212666666666, 116.46982, {Port 1: -60, Port 2: -57}
0000-01-01 14:38:17.000, 1435706f, -37.548985, 175.26212666666666, 116.46982, {Port 1: -61, Port 2: -58}
0000-01-01 14:38:19.000, 1435706f, -37.548985, 175.26212666666666, 116.46982, {Port 1: -60, Port 2: -58}
0000-01-01 14:38:21.000, 1435706f, -37.548985, 175.26212666666666, 116.46982, {Port 1: -61, Port 2: -58}
0000-01-01 14:38:23.000, 1435706f, -37.548985, 175.26212666666666, 116.141736, {Port 1: -60, Port 2: -59}
0000-01-01 14:38:25.000, 1435706f, -37.548985, 175.26212666666666, 116.141736, {Port 1: -60, Port 2: -57}
0000-01-01 14:38:27.000, 1435706f, -37.548985, 175.26212666666666, 116.141736, {Port 1: -61, Port 2: -60}
0000-01-01 14:38:29.000, 1435706f, -37.548985, 175.26212666666666, 116.141736, {Port 1: -62, Port 2: -60}
0000-01-01 14:38:31.000, 1435706f, -37.548985, 175.26212666666666, 116.141736, {Port 1: -62, Port 2: -59}
0000-01-01 14:38:33.000, 1435706f, -37.548985, 175.26212666666666, 116.141736, {Port 1: -61, Port 2: -59}
0000-01-01 14:38:35.000, 1435706f, -37.548985, 175.26212666666666, 116.141736, {Port 1: -60, Port 2: -59}
0000-01-01 14:38:37.000, 1435706f, -37.548985, 175.26212666666666, 116.141736, {Port 1: -58, Port 2: -57}
0000-01-01 14:38:39.000, 1435706f, -37.548985, 175.26212666666666, 116.141736, {Port 1: -60, Port 2: -59}
